#TimestampInMS,gt_lat,gt_long,phone_lat,phone_long
1289892830114,56.25714966666666,10.0690625,56.2568605075,10.0688809242
1289892831117,56.25714966666666,10.0690625,56.2569285685,10.0690189741
1289892832034,56.25714966666666,10.0690625,56.2569280656,10.0690437007
1289892833030,56.25714966666666,10.0690625,56.2569418958,10.069059794
1289892833951,56.25714966666666,10.0690625,56.2569580728,10.0690542619
1289892834991,56.25714966666666,10.0690625,56.2569719868,10.0690642364
1289892836008,56.25714966666666,10.0690625,56.2569854816,10.0690591234
1289892837002,56.25714966666666,10.0690625,56.2569938635,10.0690515797
1289892838002,56.25714966666666,10.0690625,56.2570016587,10.0690432816
1289892839007,56.25714966666666,10.0690625,56.2570062688,10.0690355703
1289892840006,56.25714966666666,10.0690625,56.2570110464,10.0690309602
1289892840999,56.25714966666666,10.0690625,56.2570160756,10.069027356
1289892841999,56.25714966666666,10.0690625,56.2570210209,10.0690238356
1289892843000,56.25714966666666,10.0690625,56.2570259662,10.0690210696
1289892844000,56.25714966666666,10.0690625,56.2570284808,10.0690187226
1289892845000,56.25714966666666,10.0690625,56.2570292352,10.0690180521
1289892846000,56.25714966666666,10.0690625,56.2570301572,10.0690178006
1289892847000,56.25714966666666,10.0690625,56.2570314983,10.069017633
1289892848000,56.25714966666666,10.0690625,56.2570336776,10.0690178845
1289892849000,56.25714966666666,10.0690625,56.2570345996,10.0690177168
1289892850000,56.25714966666666,10.0690625,56.257035773,10.0690178006
1289892851000,56.25714966666666,10.0690625,56.2570387905,10.069019477
1289892852000,56.25714966666666,10.0690625,56.2570393773,10.0690195608
1289892853000,56.25714966666666,10.0690625,56.2570401316,10.0690198123
1289892854000,56.25714966666666,10.0690625,56.2570405507,10.0690200637
1289892855000,56.25714966666666,10.0690625,56.2570410536,10.069020399
1289892856000,56.25714966666666,10.0690625,56.2570416404,10.0690207343
1289892857000,56.25714966666666,10.0690625,56.2570421433,10.0690210696
1289892862096,56.25714966666666,10.0690625,56.2570988049,10.0689784895
1289892867109,56.25714966666666,10.0690625,56.2571099529,10.0691255919
1289892872098,56.25714966666666,10.0690625,56.2571708893,10.0690891306
1289892877101,56.25714966666666,10.0690625,56.2570838852,10.0690721992
1289892882148,56.25714966666666,10.0690625,56.2571313267,10.0690305411
1289892887079,56.25714966666666,10.0690625,56.2570457475,10.0686192413
1289892894121,56.25714966666666,10.0690625,56.2570893334,10.0692695091
1289892899121,56.25714966666666,10.0690625,56.2570853939,10.0692268452
1289892904098,56.25714966666666,10.0690625,56.2569299096,10.0689669225
1289892911486,56.25714966666666,10.0690625,56.2566587552,10.0749151378
1289892916392,56.25714966666666,10.0690625,56.2570516148,10.0692400886
1289892921345,56.25714966666666,10.0690625,56.2573282175,10.0688115221
1289892928267,56.25714966666666,10.0690625,56.2569615932,10.0692715207
1289892933204,56.25714966666666,10.0690625,56.257096458,10.0691856901
1289892938141,56.25714966666666,10.0690625,56.2568457554,10.0695058787
1289892945125,56.25714966666666,10.0690625,56.2572609109,10.0690244223
1289892952120,56.25714966666666,10.0690625,56.2570725696,10.0692068963
1289892957112,56.25714966666666,10.0690625,56.2570532912,10.0691362369
1289892962111,56.25714966666666,10.0690625,56.2571686262,10.069081084
1289892969113,56.25714966666666,10.0690625,56.2570966256,10.0692946548
1289892976112,56.25714966666666,10.0690625,56.257037198,10.0691827564
1289892981118,56.25714966666666,10.0690625,56.2570259662,10.069093573
1289892986096,56.25714966666666,10.0690625,56.2571314105,10.0689793277
1289892991101,56.25714966666666,10.0690625,56.2570677919,10.0690993565
1289892997101,56.25714966666666,10.0690625,56.2570705579,10.0690654098
1289893002195,56.25714966666666,10.0690625,56.2571564724,10.0690135259
1289893007088,56.25714966666666,10.0690625,56.2570870703,10.0688085884
1289893012088,56.25714966666666,10.0690625,56.2566725853,10.0691928985
1289893018096,56.25714966666666,10.0690625,56.2572802731,10.0689237557
1289893023104,56.25714966666666,10.0690625,56.2568487729,10.0692897933
1289893031083,56.25714966666666,10.0690625,56.2570371142,10.0686718796
1289893037091,56.25714966666666,10.0690625,56.2570934405,10.0689513322
1289893043091,56.25714966666666,10.0690625,56.2570658641,10.0690057307
1289893049098,56.25714966666666,10.0690625,56.2569322566,10.0690945788
